    Autovalores     Easthing coordinate(m)   Northing coordinate(m)
 
[ -2.91475913e-05   1.03857377e-05] 406128.307601 2171284.9247

[  1.74635208e-05  -2.14561231e-06] 601738.212968 2172507.26812

[  1.74635208e-05  -2.14561231e-06] 576474.683548 2177186.0519

[ -4.95254657e-05  -1.05319804e-06] 396839.031317 2179142.16639

[  2.23916957e-05  -9.36416171e-05] 417713.526169 2186246.29095

[ -4.95254657e-05  -1.05319804e-06] 398966.913709 2185043.80344

[ -4.95254657e-05  -1.05319804e-06] 400126.976353 2186769.23268

[ -4.95254657e-05  -1.05319804e-06] 404783.152238 2187415.03917

[ -4.50167374e-05   4.24844239e-07] 405686.627371 2200959.98476

[ -1.30025426e-05  -4.62427950e-06] 388269.869265 2203191.98147

[ -1.81230388e-05  -8.45131844e-07] 406702.40191 2229130.72154

[  1.20628301e-05  -1.99602256e-06] 409683.141804 2256816.07534

[  1.69095224e-05  -1.95639398e-06] 612551.193942 2275397.3482

[  8.89045254e-06  -2.22873541e-07] 584677.169325 2278452.10507

[  1.61423272e-06  -1.26774996e-06] 403967.296158 2297329.43003

[  1.61423272e-06  -1.26774996e-06] 424020.400757 2311325.3409

[  7.00365503e-07  -5.63820002e-07] 398706.609166 2338970.56124

[  8.29942305e-06  -1.59443542e-07] 611423.883922 2354493.86262

[ -1.59007327e-06  -1.79462357e-07] 396294.522076 2384520.6633

[ -1.59007327e-06  -1.79462357e-07] 411153.655016 2394688.27176

[  8.29942305e-06  -1.59443542e-07] 612310.853879 2399553.21702

[ -9.93826239e-07  -2.30931885e-08] 429791.60296 2408775.50487

[  2.08969303e-07  -3.26873729e-07] 391311.62504 2416231.39379

[  4.49984343e-06   2.17267952e-07] 605276.112328 2422513.47577

[ -1.02142009e-06  -6.77333190e-08] 418407.269762 2437440.31585

[ -1.13936594e-06   2.50737400e-08] 388011.345951 2448457.0708

[ -1.23679990e-06  -2.21531301e-07] 404286.222142 2460941.49058

[  3.56912048e-08  -4.58214484e-07] 418905.539503 2472037.89225

[  2.91252624e-07  -4.47811947e-07] 378000.867927 2481268.51148

[ -5.00065326e-07  -1.14248087e-07] 391937.213381 2499179.35428

[ -3.47633358e-07   3.25621373e-08] 403290.784543 2558752.47754

